752503
13265
Alessandro Fabian
Mathis Margirier
Gregory Barnaby
Ognjen Stojanović
Adriano Engelhardt
Jonas Hoffmann
Thomas Bishop
Nicola Duchi
Paul Ruttmann
Will Draper
Dominik Sowieja
Domenico Passuello
Michele Marchelli
Franz Loeschke
Scott Steenberg
Christoph Mattner
Willhelm Hirsch
Alberto Nardin
Tomasz Szala
Andrew Horsfall-Turner
Philipp Koutny
Jeff Cook
Dummy Dummy
Bence Lehmann
Manuel Amand
Ludovic Roussel
Guillaume Doree
Stefan Schumacher
Julian Erhardt
Niall Cornyn
Robert Czysz
Stefano Rigoni
Davide Rossetti
Robert de Korte
Stephan Benedikt
Rafael Dias Lima Turtera
Hannes Butters
Florian Kandutsch
Christian Jais
Gergely Nagy
Oliver Gorges
DNF
Nils Frommhold
Mattia Ceccarelli
Fabian Dutli
Lukas Kocar
Thiago Vinhal
Lorenzo Delco
Matthias Steinwandter
