752460
13823
Frederic Funk
Jan Stratmann
Lukas Hollaus
Nicolas Mann
Sebastian Kienle
Lukas Kocar
Ruben Zepuntke
Andreas Dreitz
Magnus Maenner
Oliver Martinussen
Tom Hug
Marc Eggeling
Sven Oliver Thalmann
Tim Reed
Ivan Tutukin
Christian Birngruber
Rafael Lukatsch
Elias Schipperges
Lasse Schöfisch
Silas Koehn
Evert Scheltinga
Michal Grabowski
Lukas Seifert
Daniel Niederreiter
David Breinlinger
Lucas Duross
Hannes Butters
Michele Marchelli
Gregor Schreiner
Florian Kandutsch
Luc Gabison
Andy Krueger
Grant Grafentin
Daan Schouten
Gerrit Schubert
Rafael Dias Lima Turtera
Solly Camard
DNF
Cedric Pietzsch
Sebastian Aschenbrenner
