752502
30825
Chelsea Sodaro
Lucy Charles-Barclay
Anne Haug
Laura Philipp
Lisa Norden
Fenella Langridge
Sarah Crowley
Daniela Ryf
Skye Moench
Laura Siddall
Susie Cheetham
Maja Stage Nielsen
Haley Chura
Ruth Astle
Gurutze Frades Larralde
Heather Jackson
Rebecca Clarke
Jodie Robertson
Jen Annett
Justine Mathieux
Elisabetta Curridori
Kylie Simpson
Laura Zimmermann
Penny Slater
Kelly Fillnow
Elena Illeditsch
Kristin Liepold
Renee Kiley
Chantal Sainter
Joanna Ryter
Magda Nieuwoudt
Beatriz Neres
DNF
Dimity-Lee Duke
Sarah True
Jocelyn McCauley
Daniela Bleymehl
Sara Svensk
Pamella Oliveira
Simone Mitchell
Manon Genet
Lauren Brandon
Kate Bevilaqua
Jenny Schulz
