752453
11475
Pierre Le Corre
Florian Angert
Frederic Funk
Gregory Barnaby
Clement Mignon
Christophe De Keyser
Denis Chevrot
Robert Kallin
Jamie Riddle
Ondrej Kubo
Paul Ruttmann
Lukas Kocar
Andrew Starykowicz
Tomasz Brembor
Thomas Steger
Andrea Pizzeghella
Julian Erhardt
Milan Brons
Ramon Bustos
Alexander Mundt
Marcin Lawicki
Jack Shayler
Zoltan Petsuk
Sergiy Kurochkin
Emmanuel Lejeune
Mattia Ceccarelli
Andrei Vrabii
Thomas Roos
Ivan Trpchevski
DNF
Pablo Dapena Gonzalez
Ognjen Stojanović
Tim Reed
Oliver Gorges
